timestamp,vrms,irms,power,delta_p,wh,event,device_edge
20000,226.08,0.2742,61.99,0.54,0.2656,none,-
20500,225.45,0.2631,59.31,-2.67,0.2738,none,-
21000,226.87,0.2769,62.82,3.5,0.2826,none,-
21500,228.69,0.2623,59.98,-2.83,0.2909,none,-
22000,230.84,0.2585,59.68,-0.3,0.2992,none,-
22500,226.8,0.272,61.68,2.0,0.3078,none,-
23000,229.67,0.2609,59.92,-1.76,0.3161,none,-
23500,230.01,0.2675,61.52,1.6,0.3246,none,-
24000,228.61,0.2706,61.86,0.35,0.3332,none,-
24500,225.98,0.2777,62.76,0.9,0.3419,none,-
25000,230.62,0.2635,60.77,-1.99,0.3504,none,-
25500,229.79,0.272,62.49,1.73,0.3591,none,-
26000,227.51,0.2675,60.87,-1.62,0.3675,none,-
26500,229.78,0.2606,59.89,-0.98,0.3758,none,-
27000,226.3,0.2644,59.84,-0.05,0.3841,none,-
27500,227.16,0.2678,60.82,0.99,0.3926,none,-
28000,225.57,0.2597,58.59,-2.24,0.4007,none,-
28500,229.3,0.2707,62.08,3.49,0.4093,none,-
29000,227.21,0.2739,62.24,0.17,0.418,none,-
29500,229.39,0.2724,62.48,0.23,0.4267,none,-
30000,228.53,0.2747,62.79,0.31,0.4354,none,-
30500,225.58,0.2737,61.74,-1.05,0.444,none,-
31000,230.16,0.2729,62.81,1.07,0.4527,none,-
31500,230.29,0.2639,60.77,-2.05,0.4611,none,-
32000,225.17,0.2727,61.4,0.64,0.4697,none,-
32500,226.51,0.2681,60.72,-0.68,0.4781,none,-
33000,226.49,0.2677,60.64,-0.08,0.4865,none,-
33500,230.37,0.2659,61.25,0.61,0.495,none,-
34000,229.67,0.256,58.79,-2.46,0.5032,none,-
34500,228.75,0.2697,61.69,2.9,0.5117,none,-
35000,226.27,0.0013,0.3,-61.4,0.5118,OFF,Bulb-60W
35500,230.87,0.0075,1.73,1.43,0.512,none,-
36000,225.68,0.0059,1.34,-0.39,0.5122,none,-
36500,225.6,0.0002,0.04,-1.3,0.5122,none,-
37000,228.2,0.0032,0.72,0.67,0.5123,none,-
37500,226.56,0.0029,0.65,-0.07,0.5124,none,-
38000,230.34,0.0007,0.16,-0.49,0.5124,none,-
38500,226.82,0.0002,0.04,-0.12,0.5124,none,-
39000,230.44,0.0053,1.22,1.18,0.5126,none,-
39500,229.97,0.008,1.84,0.62,0.5129,none,-
40000,227.03,0.0733,16.65,14.81,0.5152,ON,Phone-Charger
40500,228.71,0.0614,14.05,-2.6,0.5171,none,-
41000,230.22,0.0645,14.84,0.79,0.5192,none,-
41500,225.22,0.0769,17.32,2.49,0.5216,none,-
42000,227.8,0.0671,15.28,-2.05,0.5237,none,-
42500,225.33,0.0761,17.14,1.86,0.5261,none,-
43000,225.69,0.0713,16.09,-1.05,0.5283,none,-
43500,225.1,0.0666,15.0,-1.09,0.5304,none,-
44000,230.05,0.0636,14.63,-0.37,0.5324,none,-
44500,226.33,0.0675,15.27,0.64,0.5346,none,-
45000,225.67,0.0757,17.09,1.81,0.5369,none,-
45500,230.35,0.0689,15.87,-1.22,0.5391,none,-
46000,226.37,0.0661,14.97,-0.9,0.5412,none,-
46500,229.11,0.0788,18.06,3.09,0.5437,none,-
47000,230.02,0.0632,14.54,-3.52,0.5457,none,-
47500,229.43,0.0774,17.77,3.23,0.5482,none,-
48000,228.95,0.0705,16.13,-1.64,0.5505,none,-
48500,226.69,0.0656,14.87,-1.26,0.5525,none,-
49000,229.7,0.0695,15.98,1.1,0.5547,none,-
49500,226.83,0.0704,15.97,-0.01,0.557,none,-
50000,230.88,0.0665,15.35,-0.61,0.5591,none,-
50500,230.2,0.0686,15.79,0.44,0.5613,none,-
51000,226.14,0.067,15.14,-0.65,0.5634,none,-
51500,227.22,0.0729,16.56,1.41,0.5657,none,-
52000,228.97,0.0683,15.63,-0.92,0.5679,none,-
52500,225.23,0.0724,16.31,0.67,0.5701,none,-
53000,229.91,0.0676,15.54,-0.77,0.5723,none,-
53500,225.02,0.077,17.32,1.78,0.5747,none,-
54000,229.73,0.0617,14.17,-3.15,0.5767,none,-
54500,229.02,0.0751,17.2,3.03,0.579,none,-
55000,225.19,0.0675,15.19,-2.01,0.5812,none,-
55500,225.97,0.0697,15.75,0.56,0.5833,none,-
56000,228.15,0.0789,18.01,2.26,0.5858,none,-
56500,228.71,0.0716,16.37,-1.64,0.5881,none,-
57000,226.81,0.0678,15.38,-0.99,0.5903,none,-
57500,225.14,0.0729,16.42,1.04,0.5925,none,-
58000,225.76,0.0681,15.39,-1.03,0.5947,none,-
58500,228.73,0.0752,17.21,1.82,0.5971,none,-
59000,228.52,0.0728,16.64,-0.57,0.5994,none,-
59500,230.81,0.0664,15.32,-1.31,0.6015,none,-
60000,230.71,0.0632,14.57,-0.75,0.6035,none,-
60500,226.78,0.0788,17.86,3.29,0.606,none,-
61000,226.46,0.0667,15.1,-2.76,0.6081,none,-
61500,226.04,0.0693,15.66,0.55,0.6103,none,-
62000,227.02,0.078,17.7,2.05,0.6127,none,-
62500,228.84,0.0673,15.41,-2.29,0.6149,none,-
63000,228.67,0.0678,15.51,0.1,0.617,none,-
63500,227.95,0.0743,16.93,1.41,0.6194,none,-
64000,226.65,0.0692,15.68,-1.25,0.6216,none,-
64500,230.28,0.0698,16.08,0.4,0.6238,none,-
65000,230.63,0.0721,16.63,0.55,0.6261,none,-
65500,228.3,0.0672,15.34,-1.29,0.6282,none,-
66000,225.39,0.0741,16.7,1.36,0.6305,none,-
66500,227.25,0.0666,15.14,-1.56,0.6327,none,-
67000,227.46,0.0704,16.01,0.87,0.6349,none,-
67500,230.48,0.0716,16.51,0.5,0.6372,none,-
68000,230.33,0.068,15.66,-0.85,0.6393,none,-
68500,228.22,0.0696,15.89,0.23,0.6416,none,-
69000,228.29,0.0675,15.41,-0.48,0.6437,none,-
69500,230.43,0.065,14.99,-0.42,0.6458,none,-
70000,226.92,0.0037,0.84,-14.14,0.6459,OFF,Phone-Charger
70500,225.29,0.0031,0.71,-0.13,0.646,none,-
71000,227.96,0.0002,0.05,-0.66,0.646,none,-
71500,226.95,0.001,0.23,0.18,0.646,none,-
72000,226.66,0.0047,1.07,0.84,0.6462,none,-
72500,225.88,0.0067,1.51,0.44,0.6464,none,-
73000,230.42,0.0085,1.95,0.44,0.6467,none,-
73500,228.6,0.0055,1.27,-0.68,0.6468,none,-
74000,229.19,0.006,1.38,0.12,0.647,none,-
74500,229.23,0.0028,0.64,-0.74,0.6471,none,-
75000,226.73,0.6719,152.34,151.69,0.6683,ON,Soldering-Iron
75500,228.62,0.6509,148.8,-3.54,0.6889,none,-
76000,225.65,0.6726,151.78,2.98,0.71,none,-
76500,227.64,0.6581,149.81,-1.97,0.7308,none,-
77000,229.7,0.6515,149.65,-0.16,0.7516,none,-
77500,227.11,0.6579,149.41,-0.24,0.7724,none,-
78000,229.4,0.6483,148.72,-0.7,0.793,none,-
78500,230.29,0.6662,153.43,4.71,0.8143,none,-
79000,227.86,0.6715,153.01,-0.42,0.8356,none,-
79500,226.54,0.6598,149.47,-3.54,0.8563,none,-
80000,225.62,0.6724,151.72,2.24,0.8774,none,-
80500,225.36,0.6661,150.11,-1.61,0.8983,none,-
81000,230.3,0.6649,153.12,3.01,0.9195,none,-
81500,226.29,0.66,149.35,-3.78,0.9403,none,-
82000,225.76,0.6723,151.79,2.44,0.9613,none,-
82500,226.93,0.6671,151.37,-0.41,0.9824,none,-
83000,226.41,0.674,152.61,1.23,1.0036,none,-
83500,227.09,0.6685,151.82,-0.79,1.0247,none,-
84000,226.62,0.6586,149.24,-2.57,1.0454,none,-
84500,226.08,0.6722,151.97,2.73,1.0665,none,-
85000,226.28,0.6678,151.11,-0.86,1.0875,none,-
85500,230.61,0.6543,150.9,-0.21,1.1084,none,-
86000,226.74,0.6608,149.84,-1.06,1.1292,none,-
86500,227.74,0.6565,149.52,-0.31,1.15,none,-
87000,228.33,0.661,150.93,1.41,1.171,none,-
87500,225.16,0.6688,150.59,-0.35,1.1919,none,-
88000,227.21,0.6597,149.9,-0.69,1.2127,none,-
88500,226.18,0.6564,148.46,-1.43,1.2333,none,-
89000,229.79,0.6441,148.02,-0.45,1.2539,none,-
89500,228.39,0.667,152.33,4.31,1.275,none,-
90000,228.6,0.6594,150.73,-1.6,1.296,none,-
90500,227.52,0.6535,148.68,-2.05,1.3166,none,-
91000,228.78,0.6583,150.61,1.93,1.3375,none,-
91500,226.37,0.6765,153.13,2.52,1.3588,none,-
92000,226.23,0.6596,149.21,-3.92,1.3795,none,-
92500,229.34,0.6682,153.25,4.04,1.4008,none,-
93000,230.37,0.6644,153.06,-0.19,1.4221,none,-
93500,229.82,0.6644,152.69,-0.37,1.4433,none,-
94000,228.82,0.6696,153.21,0.52,1.4646,none,-
94500,228.92,0.6636,151.9,-1.31,1.4857,none,-
95000,225.02,0.6704,150.85,-1.05,1.5066,none,-
95500,228.46,0.6722,153.58,2.73,1.5279,none,-
96000,227.82,0.663,151.05,-2.53,1.5489,none,-
96500,229.41,0.6723,154.24,3.19,1.5703,none,-
97000,226.57,0.6732,152.52,-1.72,1.5915,none,-
97500,229.8,0.641,147.31,-5.21,1.612,none,-
98000,226.65,0.6762,153.26,5.95,1.6333,none,-
98500,229.62,0.6462,148.37,-4.89,1.6539,none,-
99000,230.8,0.6522,150.52,2.15,1.6748,none,-
99500,226.64,0.6727,152.47,1.94,1.696,none,-
100000,226.97,0.6619,150.24,-2.23,1.7168,none,-
100500,229.17,0.6509,149.18,-1.06,1.7375,none,-
101000,228.13,0.6744,153.84,4.67,1.7589,none,-
101500,230.93,0.6541,151.06,-2.78,1.7799,none,-
102000,225.27,0.6773,152.58,1.52,1.8011,none,-
102500,225.68,0.666,150.3,-2.28,1.822,none,-
103000,228.02,0.6581,150.06,-0.24,1.8428,none,-
103500,228.58,0.6547,149.66,-0.41,1.8636,none,-
104000,228.34,0.6472,147.78,-1.88,1.8841,none,-
104500,226.72,0.6572,149.0,1.23,1.9048,none,-
105000,226.01,0.0075,1.7,-147.3,1.905,OFF,Soldering-Iron
105500,226.07,0.0025,0.56,-1.14,1.9051,none,-
106000,225.82,0.0078,1.77,1.21,1.9054,none,-
106500,230.94,0.0075,1.73,-0.03,1.9056,none,-
107000,225.76,0.0075,1.7,-0.04,1.9058,none,-
107500,225.57,0.0029,0.65,-1.04,1.9059,none,-
108000,228.61,0.0084,1.93,1.28,1.9062,none,-
108500,225.39,0.0057,1.29,-0.64,1.9064,none,-
109000,230.06,0.0049,1.12,-0.17,1.9065,none,-
109500,227.54,0.0004,0.09,-1.02,1.9066,none,-
110000,228.8,0.2662,60.9,60.81,1.915,ON,Bulb-60W
110500,230.46,0.266,61.3,0.4,1.9235,none,-
111000,230.44,0.2707,62.38,1.08,1.9322,none,-
111500,229.06,0.2574,58.96,-3.42,1.9404,none,-
112000,226.58,0.2617,59.3,0.34,1.9486,none,-
112500,225.59,0.2704,61.0,1.7,1.9571,none,-
113000,230.82,0.261,60.24,-0.76,1.9655,none,-
113500,230.75,0.2551,58.87,-1.37,1.9736,none,-
114000,227.97,0.2693,61.4,2.53,1.9822,none,-
114500,225.13,0.2731,61.49,0.09,1.9907,none,-
115000,226.92,0.2654,60.22,-1.28,1.9991,none,-
115500,230.23,0.2654,61.1,0.88,2.0075,none,-
116000,227.41,0.2754,62.62,1.52,2.0162,none,-
116500,225.04,0.269,60.53,-2.08,2.0246,none,-
117000,226.99,0.2783,63.16,2.63,2.0334,none,-
117500,230.31,0.2534,58.35,-4.81,2.0415,none,-
118000,225.25,0.2707,60.98,2.63,2.05,none,-
118500,230.78,0.262,60.47,-0.51,2.0584,none,-
119000,225.95,0.2712,61.27,0.8,2.0669,none,-
119500,225.41,0.2777,62.6,1.33,2.0756,none,-
120000,228.37,0.2616,59.73,-2.86,2.0839,none,-
120500,227.76,0.2686,61.18,1.45,2.0924,none,-
121000,225.04,0.2819,63.44,2.25,2.1012,none,-
121500,228.26,0.262,59.81,-3.63,2.1095,none,-
122000,228.44,0.2651,60.57,0.76,2.1179,none,-
122500,226.95,0.2732,61.99,1.42,2.1265,none,-
123000,229.66,0.2675,61.44,-0.55,2.1351,none,-
123500,230.36,0.2674,61.61,0.16,2.1436,none,-
124000,229.17,0.2613,59.88,-1.73,2.1519,none,-
124500,225.01,0.2672,60.13,0.25,2.1603,none,-
125000,230.52,0.2546,58.69,-1.44,2.1684,none,-
125500,229.99,0.2562,58.93,0.24,2.1766,none,-
126000,226.88,0.2647,60.06,1.13,2.185,none,-
126500,225.11,0.2767,62.29,2.23,2.1936,none,-
127000,230.72,0.262,60.46,-1.84,2.202,none,-
127500,228.33,0.2634,60.13,-0.32,2.2104,none,-
128000,225.33,0.2734,61.61,1.47,2.2189,none,-
128500,228.16,0.2637,60.16,-1.45,2.2273,none,-
129000,227.23,0.2735,62.15,1.99,2.2359,none,-
129500,227.67,0.269,61.25,-0.91,2.2444,none,-
130000,230.08,0.2567,59.06,-2.18,2.2526,none,-
130500,228.13,0.2661,60.71,1.65,2.2611,none,-
131000,226.78,0.2711,61.48,0.77,2.2696,none,-
131500,226.75,0.2706,61.35,-0.12,2.2781,none,-
132000,225.07,0.277,62.35,1.0,2.2868,none,-
132500,225.32,0.2808,63.26,0.91,2.2956,none,-
133000,230.78,0.2631,60.71,-2.55,2.304,none,-
133500,225.57,0.279,62.93,2.21,2.3127,none,-
134000,228.7,0.2761,63.15,0.22,2.3215,none,-
134500,227.55,0.2629,59.82,-3.33,2.3298,none,-
135000,229.94,0.2592,59.6,-0.22,2.3381,none,-
135500,228.0,0.2618,59.69,0.09,2.3464,none,-
136000,227.17,0.2734,62.12,2.43,2.355,none,-
136500,226.03,0.2705,61.13,-0.99,2.3635,none,-
137000,226.18,0.2716,61.43,0.29,2.372,none,-
137500,225.06,0.2645,59.54,-1.89,2.3803,none,-
138000,227.97,0.2784,63.46,3.92,2.3891,none,-
138500,226.83,0.2759,62.58,-0.87,2.3978,none,-
139000,230.83,0.2578,59.51,-3.08,2.4061,none,-
139500,227.57,0.2642,60.12,0.61,2.4144,none,-
140000,230.12,0.0051,1.18,-58.94,2.4146,OFF,Bulb-60W
140500,226.8,0.0046,1.04,-0.13,2.4147,none,-
141000,230.47,0.0048,1.1,0.06,2.4149,none,-
141500,228.63,0.0012,0.27,-0.83,2.4149,none,-
142000,227.35,0.0062,1.4,1.12,2.4151,none,-
142500,230.31,0.0029,0.67,-0.73,2.4152,none,-
143000,228.52,0.0005,0.12,-0.55,2.4152,none,-
143500,226.79,0.0057,1.29,1.17,2.4154,none,-
144000,226.79,0.0043,0.96,-0.32,2.4155,none,-
144500,229.72,0.0037,0.86,-0.1,2.4157,none,-
145000,229.62,0.0728,16.73,15.87,2.418,ON,Phone-Charger
145500,227.15,0.0684,15.53,-1.2,2.4201,none,-
146000,230.31,0.068,15.65,0.13,2.4223,none,-
146500,228.63,0.0684,15.63,-0.02,2.4245,none,-
147000,229.3,0.0642,14.72,-0.91,2.4265,none,-
147500,230.14,0.0688,15.83,1.11,2.4287,none,-
148000,228.6,0.0689,15.75,-0.08,2.4309,none,-
148500,226.13,0.0708,16.0,0.25,2.4331,none,-
149000,227.07,0.0622,14.13,-1.87,2.4351,none,-
149500,226.33,0.0748,16.93,2.79,2.4374,none,-
150000,226.07,0.0686,15.52,-1.41,2.4396,none,-
150500,226.91,0.0755,17.13,1.62,2.442,none,-
151000,228.94,0.074,16.95,-0.18,2.4443,none,-
151500,227.58,0.0716,16.3,-0.64,2.4466,none,-
152000,230.74,0.0732,16.88,0.58,2.4489,none,-
152500,229.02,0.0714,16.36,-0.52,2.4512,none,-
153000,228.76,0.0599,13.7,-2.66,2.4531,none,-
153500,228.4,0.0666,15.21,1.52,2.4552,none,-
154000,227.06,0.0645,14.66,-0.56,2.4573,none,-
154500,225.36,0.0695,15.67,1.01,2.4594,none,-
155000,231.0,0.0748,17.27,1.61,2.4618,none,-
155500,228.92,0.0726,16.62,-0.66,2.4641,none,-
156000,228.06,0.0772,17.61,0.99,2.4666,none,-
156500,229.73,0.0658,15.12,-2.49,2.4687,none,-
157000,227.27,0.0653,14.83,-0.28,2.4708,none,-
157500,229.83,0.0658,15.12,0.29,2.4729,none,-
158000,227.11,0.0624,14.17,-0.95,2.4748,none,-
158500,230.86,0.0699,16.13,1.96,2.4771,none,-
159000,226.67,0.0676,15.33,-0.8,2.4792,none,-
159500,230.47,0.0741,17.08,1.74,2.4816,none,-
160000,228.1,0.0746,17.03,-0.05,2.4839,none,-
160500,225.73,0.0681,15.38,-1.65,2.4861,none,-
161000,230.61,0.0711,16.39,1.01,2.4883,none,-
161500,227.05,0.0752,17.08,0.69,2.4907,none,-
162000,228.5,0.0669,15.28,-1.81,2.4928,none,-
162500,225.16,0.0674,15.19,-0.09,2.4949,none,-
163000,229.55,0.0781,17.94,2.75,2.4974,none,-
163500,227.25,0.0783,17.8,-0.14,2.4999,none,-
164000,225.33,0.0699,15.76,-2.04,2.5021,none,-
164500,225.34,0.064,14.43,-1.33,2.5041,none,-
165000,230.07,0.065,14.95,0.52,2.5062,none,-
165500,225.59,0.0637,14.36,-0.58,2.5082,none,-
166000,225.91,0.0743,16.79,2.42,2.5105,none,-
166500,230.19,0.0705,16.23,-0.56,2.5128,none,-
167000,229.57,0.077,17.68,1.45,2.5152,none,-
167500,230.22,0.0647,14.9,-2.78,2.5173,none,-
168000,226.43,0.0734,16.62,1.72,2.5196,none,-
168500,226.8,0.071,16.11,-0.51,2.5218,none,-
169000,228.93,0.0721,16.5,0.38,2.5241,none,-
169500,228.83,0.0687,15.71,-0.78,2.5263,none,-
170000,227.29,0.0678,15.4,-0.31,2.5284,none,-
170500,229.51,0.0715,16.41,1.01,2.5307,none,-
171000,228.76,0.0724,16.56,0.15,2.533,none,-
171500,228.8,0.0692,15.83,-0.73,2.5352,none,-
172000,229.66,0.0737,16.93,1.1,2.5376,none,-
172500,228.54,0.072,16.45,-0.48,2.5399,none,-
173000,228.83,0.0684,15.65,-0.8,2.542,none,-
173500,228.94,0.0718,16.45,0.79,2.5443,none,-
174000,225.94,0.0705,15.93,-0.51,2.5465,none,-
174500,226.59,0.0721,16.34,0.41,2.5488,none,-
175000,225.87,0.0023,0.51,-15.83,2.5489,OFF,Phone-Charger
175500,227.01,0.0001,0.02,-0.49,2.5489,none,-
176000,226.84,0.0037,0.84,0.83,2.549,none,-
176500,226.44,0.0074,1.69,0.84,2.5492,none,-
177000,227.44,0.0077,1.75,0.06,2.5495,none,-
177500,226.97,0.0002,0.04,-1.71,2.5495,none,-
178000,225.01,0.0049,1.11,1.07,2.5496,none,-
178500,229.67,0.0044,1.01,-0.1,2.5498,none,-
179000,228.11,0.0047,1.07,0.06,2.5499,none,-
179500,230.83,0.0041,0.95,-0.12,2.55,none,-
180000,229.13,0.6677,152.98,152.03,2.5713,ON,Soldering-Iron
180500,229.38,0.6537,149.95,-3.03,2.5921,none,-
181000,227.7,0.6692,152.38,2.43,2.6133,none,-
181500,230.17,0.653,150.31,-2.07,2.6342,none,-
182000,228.78,0.6495,148.59,-1.71,2.6548,none,-
182500,228.48,0.6755,154.32,5.73,2.6762,none,-
183000,225.76,0.6586,148.69,-5.63,2.6969,none,-
183500,225.33,0.6576,148.18,-0.51,2.7175,none,-
184000,230.69,0.6638,153.14,4.96,2.7387,none,-
184500,228.25,0.6511,148.6,-4.54,2.7594,none,-
185000,229.97,0.6698,154.04,5.44,2.7808,none,-
185500,226.53,0.655,148.38,-5.66,2.8014,none,-
186000,229.91,0.6609,151.94,3.56,2.8225,none,-
186500,230.77,0.6492,149.83,-2.11,2.8433,none,-
187000,228.33,0.6573,150.09,0.26,2.8641,none,-
187500,229.74,0.6587,151.33,1.24,2.8851,none,-
188000,229.7,0.6683,153.51,2.18,2.9065,none,-
188500,230.83,0.6443,148.73,-4.78,2.9271,none,-
189000,227.43,0.6532,148.55,-0.18,2.9478,none,-
189500,230.86,0.6623,152.9,4.35,2.969,none,-
190000,225.1,0.6757,152.1,-0.8,2.9901,none,-
190500,225.32,0.676,152.31,0.21,3.0113,none,-
191000,225.09,0.6737,151.64,-0.67,3.0323,none,-
191500,229.84,0.6507,149.55,-2.09,3.0531,none,-
192000,226.44,0.663,150.14,0.58,3.074,none,-
192500,228.46,0.659,150.55,0.42,3.0949,none,-
193000,227.98,0.6526,148.77,-1.78,3.1155,none,-
193500,226.96,0.6671,151.42,2.65,3.1366,none,-
194000,228.07,0.6661,151.91,0.5,3.1577,none,-
194500,225.66,0.6812,153.72,1.8,3.179,none,-
195000,225.68,0.6563,148.11,-5.61,3.1996,none,-
195500,230.48,0.663,152.8,4.69,3.2208,none,-
196000,227.02,0.6545,148.58,-4.23,3.2414,none,-
196500,225.34,0.655,147.6,-0.98,3.2619,none,-
197000,227.95,0.6709,152.93,5.33,3.2832,none,-
197500,226.2,0.6691,151.36,-1.57,3.3042,none,-
198000,228.42,0.6696,152.94,1.58,3.3254,none,-
198500,228.68,0.6746,154.26,1.32,3.3469,none,-
199000,229.78,0.6687,153.65,-0.61,3.3682,none,-
199500,226.23,0.6608,149.5,-4.16,3.389,none,-
200000,229.01,0.657,150.46,0.96,3.4099,none,-
200500,230.82,0.6528,150.69,0.23,3.4308,none,-
201000,226.36,0.6535,147.93,-2.76,3.4513,none,-
201500,230.12,0.6618,152.28,4.36,3.4725,none,-
202000,230.34,0.6576,151.47,-0.81,3.4935,none,-
202500,226.09,0.6853,154.95,3.47,3.5151,none,-
203000,228.24,0.6741,153.86,-1.09,3.5364,none,-
203500,230.06,0.6671,153.46,-0.39,3.5577,none,-
204000,226.25,0.6586,149.0,-4.46,3.5784,none,-
204500,229.52,0.6653,152.69,3.69,3.5996,none,-
205000,226.5,0.6733,152.5,-0.2,3.6208,none,-
205500,227.55,0.6726,153.05,0.56,3.6421,none,-
206000,227.86,0.6641,151.32,-1.73,3.6631,none,-
206500,229.19,0.6609,151.46,0.14,3.6841,none,-
207000,230.1,0.6618,152.28,0.82,3.7053,none,-
207500,228.71,0.6748,154.32,2.04,3.7267,none,-
208000,228.96,0.6494,148.68,-5.64,3.7474,none,-
208500,225.88,0.6792,153.42,4.73,3.7687,none,-
209000,228.01,0.6517,148.61,-4.81,3.7893,none,-
209500,225.98,0.663,149.84,1.23,3.8101,none,-
210000,228.51,0.0045,1.02,-148.82,3.8103,OFF,Soldering-Iron
210500,227.18,0.002,0.45,-0.57,3.8103,none,-
211000,230.53,0.0056,1.29,0.83,3.8105,none,-
211500,228.41,0.0084,1.92,0.63,3.8108,none,-
212000,228.72,0.0025,0.56,-1.36,3.8108,none,-
212500,228.1,0.0002,0.04,-0.52,3.8109,none,-
213000,228.06,0.0059,1.36,1.31,3.811,none,-
213500,229.5,0.0028,0.65,-0.71,3.8111,none,-
214000,230.11,0.0006,0.13,-0.52,3.8111,none,-
214500,230.22,0.0066,1.52,1.4,3.8114,none,-
215000,230.45,0.268,61.77,60.25,3.8199,ON,Bulb-60W
215500,230.21,0.2684,61.78,0.01,3.8285,none,-
216000,225.82,0.2643,59.69,-2.09,3.8368,none,-
216500,227.03,0.2697,61.22,1.53,3.8453,none,-
217000,226.43,0.2739,62.01,0.79,3.8539,none,-
217500,226.43,0.2687,60.84,-1.17,3.8624,none,-
218000,230.86,0.2651,61.2,0.36,3.8709,none,-
218500,227.16,0.2633,59.8,-1.39,3.8792,none,-
219000,225.42,0.2769,62.41,2.61,3.8878,none,-
219500,226.65,0.269,60.96,-1.45,3.8963,none,-
220000,227.11,0.3305,75.06,14.1,3.9067,ON,Phone-Charger
220500,225.15,0.3451,77.7,2.64,3.9175,none,-
221000,226.1,0.3425,77.44,-0.26,3.9283,none,-
221500,228.01,0.3294,75.1,-2.34,3.9387,none,-
222000,228.9,0.3271,74.87,-0.24,3.9491,none,-
222500,226.35,0.347,78.54,3.67,3.96,none,-
223000,230.06,0.328,75.45,-3.09,3.9705,none,-
223500,230.67,0.3322,76.64,1.18,3.9812,none,-
224000,225.46,0.3406,76.79,0.16,3.9918,none,-
224500,229.71,0.3253,74.72,-2.08,4.0022,none,-
225000,229.11,0.3234,74.09,-0.62,4.0125,none,-
225500,226.58,0.346,78.39,4.29,4.0234,none,-
226000,227.45,0.3279,74.58,-3.8,4.0337,none,-
226500,225.14,0.3383,76.16,1.58,4.0443,none,-
227000,229.71,0.3365,77.29,1.13,4.055,none,-
227500,229.08,0.339,77.65,0.36,4.0658,none,-
228000,229.18,0.328,75.17,-2.48,4.0763,none,-
228500,226.77,0.3375,76.54,1.37,4.0869,none,-
229000,226.09,0.3368,76.16,-0.39,4.0975,none,-
229500,230.02,0.3342,76.88,0.72,4.1082,none,-
230000,228.64,0.3264,74.62,-2.26,4.1185,none,-
230500,226.0,0.3367,76.09,1.47,4.1291,none,-
231000,227.69,0.318,72.41,-3.69,4.1391,none,-
231500,228.69,0.3222,73.69,1.28,4.1494,none,-
232000,228.75,0.3261,74.59,0.9,4.1597,none,-
232500,226.27,0.3364,76.12,1.53,4.1703,none,-
233000,228.73,0.3222,73.69,-2.43,4.1805,none,-
233500,230.99,0.3253,75.14,1.45,4.191,none,-
234000,230.58,0.324,74.72,-0.42,4.2014,none,-
234500,228.43,0.3275,74.81,0.09,4.2117,none,-
235000,228.96,0.3383,77.45,2.64,4.2225,none,-
235500,226.18,0.3435,77.7,0.24,4.2333,none,-
