timestamp,vrms,irms,power,delta_p,wh,device_id
40500,228.71,0.0614,14.05,-2.6,0.5171,Phone-Charger
41000,230.22,0.0645,14.84,0.79,0.5192,Phone-Charger
41500,225.22,0.0769,17.32,2.49,0.5216,Phone-Charger
42000,227.8,0.0671,15.28,-2.05,0.5237,Phone-Charger
42500,225.33,0.0761,17.14,1.86,0.5261,Phone-Charger
43000,225.69,0.0713,16.09,-1.05,0.5283,Phone-Charger
43500,225.1,0.0666,15.0,-1.09,0.5304,Phone-Charger
44000,230.05,0.0636,14.63,-0.37,0.5324,Phone-Charger
44500,226.33,0.0675,15.27,0.64,0.5346,Phone-Charger
45000,225.67,0.0757,17.09,1.81,0.5369,Phone-Charger
45500,230.35,0.0689,15.87,-1.22,0.5391,Phone-Charger
46000,226.37,0.0661,14.97,-0.9,0.5412,Phone-Charger
46500,229.11,0.0788,18.06,3.09,0.5437,Phone-Charger
47000,230.02,0.0632,14.54,-3.52,0.5457,Phone-Charger
47500,229.43,0.0774,17.77,3.23,0.5482,Phone-Charger
48000,228.95,0.0705,16.13,-1.64,0.5505,Phone-Charger
48500,226.69,0.0656,14.87,-1.26,0.5525,Phone-Charger
49000,229.7,0.0695,15.98,1.1,0.5547,Phone-Charger
49500,226.83,0.0704,15.97,-0.01,0.557,Phone-Charger
50000,230.88,0.0665,15.35,-0.61,0.5591,Phone-Charger
50500,230.2,0.0686,15.79,0.44,0.5613,Phone-Charger
51000,226.14,0.067,15.14,-0.65,0.5634,Phone-Charger
51500,227.22,0.0729,16.56,1.41,0.5657,Phone-Charger
52000,228.97,0.0683,15.63,-0.92,0.5679,Phone-Charger
52500,225.23,0.0724,16.31,0.67,0.5701,Phone-Charger
53000,229.91,0.0676,15.54,-0.77,0.5723,Phone-Charger
53500,225.02,0.077,17.32,1.78,0.5747,Phone-Charger
54000,229.73,0.0617,14.17,-3.15,0.5767,Phone-Charger
54500,229.02,0.0751,17.2,3.03,0.579,Phone-Charger
55000,225.19,0.0675,15.19,-2.01,0.5812,Phone-Charger
55500,225.97,0.0697,15.75,0.56,0.5833,Phone-Charger
56000,228.15,0.0789,18.01,2.26,0.5858,Phone-Charger
56500,228.71,0.0716,16.37,-1.64,0.5881,Phone-Charger
57000,226.81,0.0678,15.38,-0.99,0.5903,Phone-Charger
57500,225.14,0.0729,16.42,1.04,0.5925,Phone-Charger
58000,225.76,0.0681,15.39,-1.03,0.5947,Phone-Charger
58500,228.73,0.0752,17.21,1.82,0.5971,Phone-Charger
59000,228.52,0.0728,16.64,-0.57,0.5994,Phone-Charger
59500,230.81,0.0664,15.32,-1.31,0.6015,Phone-Charger
60000,230.71,0.0632,14.57,-0.75,0.6035,Phone-Charger
60500,226.78,0.0788,17.86,3.29,0.606,Phone-Charger
61000,226.46,0.0667,15.1,-2.76,0.6081,Phone-Charger
61500,226.04,0.0693,15.66,0.55,0.6103,Phone-Charger
62000,227.02,0.078,17.7,2.05,0.6127,Phone-Charger
62500,228.84,0.0673,15.41,-2.29,0.6149,Phone-Charger
63000,228.67,0.0678,15.51,0.1,0.617,Phone-Charger
63500,227.95,0.0743,16.93,1.41,0.6194,Phone-Charger
64000,226.65,0.0692,15.68,-1.25,0.6216,Phone-Charger
64500,230.28,0.0698,16.08,0.4,0.6238,Phone-Charger
65000,230.63,0.0721,16.63,0.55,0.6261,Phone-Charger
65500,228.3,0.0672,15.34,-1.29,0.6282,Phone-Charger
66000,225.39,0.0741,16.7,1.36,0.6305,Phone-Charger
66500,227.25,0.0666,15.14,-1.56,0.6327,Phone-Charger
67000,227.46,0.0704,16.01,0.87,0.6349,Phone-Charger
67500,230.48,0.0716,16.51,0.5,0.6372,Phone-Charger
68000,230.33,0.068,15.66,-0.85,0.6393,Phone-Charger
68500,228.22,0.0696,15.89,0.23,0.6416,Phone-Charger
69000,228.29,0.0675,15.41,-0.48,0.6437,Phone-Charger
69500,230.43,0.065,14.99,-0.42,0.6458,Phone-Charger
75000,226.73,0.6719,152.34,151.69,0.6683,Soldering-Iron
75500,228.62,0.6509,148.8,-3.54,0.6889,Soldering-Iron
76000,225.65,0.6726,151.78,2.98,0.71,Soldering-Iron
76500,227.64,0.6581,149.81,-1.97,0.7308,Soldering-Iron
77000,229.7,0.6515,149.65,-0.16,0.7516,Soldering-Iron
77500,227.11,0.6579,149.41,-0.24,0.7724,Soldering-Iron
78000,229.4,0.6483,148.72,-0.7,0.793,Soldering-Iron
78500,230.29,0.6662,153.43,4.71,0.8143,Soldering-Iron
79000,227.86,0.6715,153.01,-0.42,0.8356,Soldering-Iron
79500,226.54,0.6598,149.47,-3.54,0.8563,Soldering-Iron
80000,225.62,0.6724,151.72,2.24,0.8774,Soldering-Iron
80500,225.36,0.6661,150.11,-1.61,0.8983,Soldering-Iron
81000,230.3,0.6649,153.12,3.01,0.9195,Soldering-Iron
81500,226.29,0.66,149.35,-3.78,0.9403,Soldering-Iron
82000,225.76,0.6723,151.79,2.44,0.9613,Soldering-Iron
82500,226.93,0.6671,151.37,-0.41,0.9824,Soldering-Iron
83000,226.41,0.674,152.61,1.23,1.0036,Soldering-Iron
83500,227.09,0.6685,151.82,-0.79,1.0247,Soldering-Iron
84000,226.62,0.6586,149.24,-2.57,1.0454,Soldering-Iron
84500,226.08,0.6722,151.97,2.73,1.0665,Soldering-Iron
85000,226.28,0.6678,151.11,-0.86,1.0875,Soldering-Iron
85500,230.61,0.6543,150.9,-0.21,1.1084,Soldering-Iron
86000,226.74,0.6608,149.84,-1.06,1.1292,Soldering-Iron
86500,227.74,0.6565,149.52,-0.31,1.15,Soldering-Iron
87000,228.33,0.661,150.93,1.41,1.171,Soldering-Iron
87500,225.16,0.6688,150.59,-0.35,1.1919,Soldering-Iron
88000,227.21,0.6597,149.9,-0.69,1.2127,Soldering-Iron
88500,226.18,0.6564,148.46,-1.43,1.2333,Soldering-Iron
89000,229.79,0.6441,148.02,-0.45,1.2539,Soldering-Iron
89500,228.39,0.667,152.33,4.31,1.275,Soldering-Iron
90000,228.6,0.6594,150.73,-1.6,1.296,Soldering-Iron
90500,227.52,0.6535,148.68,-2.05,1.3166,Soldering-Iron
91000,228.78,0.6583,150.61,1.93,1.3375,Soldering-Iron
91500,226.37,0.6765,153.13,2.52,1.3588,Soldering-Iron
92000,226.23,0.6596,149.21,-3.92,1.3795,Soldering-Iron
92500,229.34,0.6682,153.25,4.04,1.4008,Soldering-Iron
93000,230.37,0.6644,153.06,-0.19,1.4221,Soldering-Iron
93500,229.82,0.6644,152.69,-0.37,1.4433,Soldering-Iron
94000,228.82,0.6696,153.21,0.52,1.4646,Soldering-Iron
94500,228.92,0.6636,151.9,-1.31,1.4857,Soldering-Iron
95000,225.02,0.6704,150.85,-1.05,1.5066,Soldering-Iron
95500,228.46,0.6722,153.58,2.73,1.5279,Soldering-Iron
96000,227.82,0.663,151.05,-2.53,1.5489,Soldering-Iron
96500,229.41,0.6723,154.24,3.19,1.5703,Soldering-Iron
97000,226.57,0.6732,152.52,-1.72,1.5915,Soldering-Iron
97500,229.8,0.641,147.31,-5.21,1.612,Soldering-Iron
98000,226.65,0.6762,153.26,5.95,1.6333,Soldering-Iron
98500,229.62,0.6462,148.37,-4.89,1.6539,Soldering-Iron
99000,230.8,0.6522,150.52,2.15,1.6748,Soldering-Iron
99500,226.64,0.6727,152.47,1.94,1.696,Soldering-Iron
100000,226.97,0.6619,150.24,-2.23,1.7168,Soldering-Iron
100500,229.17,0.6509,149.18,-1.06,1.7375,Soldering-Iron
101000,228.13,0.6744,153.84,4.67,1.7589,Soldering-Iron
101500,230.93,0.6541,151.06,-2.78,1.7799,Soldering-Iron
102000,225.27,0.6773,152.58,1.52,1.8011,Soldering-Iron
102500,225.68,0.666,150.3,-2.28,1.822,Soldering-Iron
103000,228.02,0.6581,150.06,-0.24,1.8428,Soldering-Iron
103500,228.58,0.6547,149.66,-0.41,1.8636,Soldering-Iron
104000,228.34,0.6472,147.78,-1.88,1.8841,Soldering-Iron
104500,226.72,0.6572,149.0,1.23,1.9048,Soldering-Iron
110000,228.8,0.2662,60.9,60.81,1.915,Bulb-60W
110500,230.46,0.266,61.3,0.4,1.9235,Bulb-60W
111000,230.44,0.2707,62.38,1.08,1.9322,Bulb-60W
111500,229.06,0.2574,58.96,-3.42,1.9404,Bulb-60W
112000,226.58,0.2617,59.3,0.34,1.9486,Bulb-60W
112500,225.59,0.2704,61.0,1.7,1.9571,Bulb-60W
113000,230.82,0.261,60.24,-0.76,1.9655,Bulb-60W
113500,230.75,0.2551,58.87,-1.37,1.9736,Bulb-60W
114000,227.97,0.2693,61.4,2.53,1.9822,Bulb-60W
114500,225.13,0.2731,61.49,0.09,1.9907,Bulb-60W
115000,226.92,0.2654,60.22,-1.28,1.9991,Bulb-60W
115500,230.23,0.2654,61.1,0.88,2.0075,Bulb-60W
116000,227.41,0.2754,62.62,1.52,2.0162,Bulb-60W
116500,225.04,0.269,60.53,-2.08,2.0246,Bulb-60W
117000,226.99,0.2783,63.16,2.63,2.0334,Bulb-60W
117500,230.31,0.2534,58.35,-4.81,2.0415,Bulb-60W
118000,225.25,0.2707,60.98,2.63,2.05,Bulb-60W
118500,230.78,0.262,60.47,-0.51,2.0584,Bulb-60W
119000,225.95,0.2712,61.27,0.8,2.0669,Bulb-60W
119500,225.41,0.2777,62.6,1.33,2.0756,Bulb-60W
120000,228.37,0.2616,59.73,-2.86,2.0839,Bulb-60W
120500,227.76,0.2686,61.18,1.45,2.0924,Bulb-60W
121000,225.04,0.2819,63.44,2.25,2.1012,Bulb-60W
121500,228.26,0.262,59.81,-3.63,2.1095,Bulb-60W
122000,228.44,0.2651,60.57,0.76,2.1179,Bulb-60W
122500,226.95,0.2732,61.99,1.42,2.1265,Bulb-60W
123000,229.66,0.2675,61.44,-0.55,2.1351,Bulb-60W
123500,230.36,0.2674,61.61,0.16,2.1436,Bulb-60W
124000,229.17,0.2613,59.88,-1.73,2.1519,Bulb-60W
124500,225.01,0.2672,60.13,0.25,2.1603,Bulb-60W
125000,230.52,0.2546,58.69,-1.44,2.1684,Bulb-60W
125500,229.99,0.2562,58.93,0.24,2.1766,Bulb-60W
126000,226.88,0.2647,60.06,1.13,2.185,Bulb-60W
126500,225.11,0.2767,62.29,2.23,2.1936,Bulb-60W
127000,230.72,0.262,60.46,-1.84,2.202,Bulb-60W
127500,228.33,0.2634,60.13,-0.32,2.2104,Bulb-60W
128000,225.33,0.2734,61.61,1.47,2.2189,Bulb-60W
128500,228.16,0.2637,60.16,-1.45,2.2273,Bulb-60W
129000,227.23,0.2735,62.15,1.99,2.2359,Bulb-60W
129500,227.67,0.269,61.25,-0.91,2.2444,Bulb-60W
130000,230.08,0.2567,59.06,-2.18,2.2526,Bulb-60W
130500,228.13,0.2661,60.71,1.65,2.2611,Bulb-60W
131000,226.78,0.2711,61.48,0.77,2.2696,Bulb-60W
131500,226.75,0.2706,61.35,-0.12,2.2781,Bulb-60W
132000,225.07,0.277,62.35,1.0,2.2868,Bulb-60W
132500,225.32,0.2808,63.26,0.91,2.2956,Bulb-60W
133000,230.78,0.2631,60.71,-2.55,2.304,Bulb-60W
133500,225.57,0.279,62.93,2.21,2.3127,Bulb-60W
134000,228.7,0.2761,63.15,0.22,2.3215,Bulb-60W
134500,227.55,0.2629,59.82,-3.33,2.3298,Bulb-60W
135000,229.94,0.2592,59.6,-0.22,2.3381,Bulb-60W
135500,228.0,0.2618,59.69,0.09,2.3464,Bulb-60W
136000,227.17,0.2734,62.12,2.43,2.355,Bulb-60W
136500,226.03,0.2705,61.13,-0.99,2.3635,Bulb-60W
137000,226.18,0.2716,61.43,0.29,2.372,Bulb-60W
137500,225.06,0.2645,59.54,-1.89,2.3803,Bulb-60W
138000,227.97,0.2784,63.46,3.92,2.3891,Bulb-60W
138500,226.83,0.2759,62.58,-0.87,2.3978,Bulb-60W
139000,230.83,0.2578,59.51,-3.08,2.4061,Bulb-60W
139500,227.57,0.2642,60.12,0.61,2.4144,Bulb-60W
145000,229.62,0.0728,16.73,15.87,2.418,Phone-Charger
145500,227.15,0.0684,15.53,-1.2,2.4201,Phone-Charger
146000,230.31,0.068,15.65,0.13,2.4223,Phone-Charger
146500,228.63,0.0684,15.63,-0.02,2.4245,Phone-Charger
147000,229.3,0.0642,14.72,-0.91,2.4265,Phone-Charger
147500,230.14,0.0688,15.83,1.11,2.4287,Phone-Charger
148000,228.6,0.0689,15.75,-0.08,2.4309,Phone-Charger
148500,226.13,0.0708,16.0,0.25,2.4331,Phone-Charger
149000,227.07,0.0622,14.13,-1.87,2.4351,Phone-Charger
149500,226.33,0.0748,16.93,2.79,2.4374,Phone-Charger
150000,226.07,0.0686,15.52,-1.41,2.4396,Phone-Charger
150500,226.91,0.0755,17.13,1.62,2.442,Phone-Charger
151000,228.94,0.074,16.95,-0.18,2.4443,Phone-Charger
151500,227.58,0.0716,16.3,-0.64,2.4466,Phone-Charger
152000,230.74,0.0732,16.88,0.58,2.4489,Phone-Charger
152500,229.02,0.0714,16.36,-0.52,2.4512,Phone-Charger
153000,228.76,0.0599,13.7,-2.66,2.4531,Phone-Charger
153500,228.4,0.0666,15.21,1.52,2.4552,Phone-Charger
154000,227.06,0.0645,14.66,-0.56,2.4573,Phone-Charger
154500,225.36,0.0695,15.67,1.01,2.4594,Phone-Charger
155000,231.0,0.0748,17.27,1.61,2.4618,Phone-Charger
155500,228.92,0.0726,16.62,-0.66,2.4641,Phone-Charger
156000,228.06,0.0772,17.61,0.99,2.4666,Phone-Charger
156500,229.73,0.0658,15.12,-2.49,2.4687,Phone-Charger
157000,227.27,0.0653,14.83,-0.28,2.4708,Phone-Charger
157500,229.83,0.0658,15.12,0.29,2.4729,Phone-Charger
158000,227.11,0.0624,14.17,-0.95,2.4748,Phone-Charger
158500,230.86,0.0699,16.13,1.96,2.4771,Phone-Charger
159000,226.67,0.0676,15.33,-0.8,2.4792,Phone-Charger
159500,230.47,0.0741,17.08,1.74,2.4816,Phone-Charger
160000,228.1,0.0746,17.03,-0.05,2.4839,Phone-Charger
160500,225.73,0.0681,15.38,-1.65,2.4861,Phone-Charger
161000,230.61,0.0711,16.39,1.01,2.4883,Phone-Charger
161500,227.05,0.0752,17.08,0.69,2.4907,Phone-Charger
162000,228.5,0.0669,15.28,-1.81,2.4928,Phone-Charger
162500,225.16,0.0674,15.19,-0.09,2.4949,Phone-Charger
163000,229.55,0.0781,17.94,2.75,2.4974,Phone-Charger
163500,227.25,0.0783,17.8,-0.14,2.4999,Phone-Charger
164000,225.33,0.0699,15.76,-2.04,2.5021,Phone-Charger
164500,225.34,0.064,14.43,-1.33,2.5041,Phone-Charger
165000,230.07,0.065,14.95,0.52,2.5062,Phone-Charger
165500,225.59,0.0637,14.36,-0.58,2.5082,Phone-Charger
166000,225.91,0.0743,16.79,2.42,2.5105,Phone-Charger
166500,230.19,0.0705,16.23,-0.56,2.5128,Phone-Charger
167000,229.57,0.077,17.68,1.45,2.5152,Phone-Charger
167500,230.22,0.0647,14.9,-2.78,2.5173,Phone-Charger
168000,226.43,0.0734,16.62,1.72,2.5196,Phone-Charger
168500,226.8,0.071,16.11,-0.51,2.5218,Phone-Charger
169000,228.93,0.0721,16.5,0.38,2.5241,Phone-Charger
169500,228.83,0.0687,15.71,-0.78,2.5263,Phone-Charger
170000,227.29,0.0678,15.4,-0.31,2.5284,Phone-Charger
170500,229.51,0.0715,16.41,1.01,2.5307,Phone-Charger
171000,228.76,0.0724,16.56,0.15,2.533,Phone-Charger
171500,228.8,0.0692,15.83,-0.73,2.5352,Phone-Charger
172000,229.66,0.0737,16.93,1.1,2.5376,Phone-Charger
172500,228.54,0.072,16.45,-0.48,2.5399,Phone-Charger
173000,228.83,0.0684,15.65,-0.8,2.542,Phone-Charger
173500,228.94,0.0718,16.45,0.79,2.5443,Phone-Charger
174000,225.94,0.0705,15.93,-0.51,2.5465,Phone-Charger
174500,226.59,0.0721,16.34,0.41,2.5488,Phone-Charger
180000,229.13,0.6677,152.98,152.03,2.5713,Soldering-Iron
180500,229.38,0.6537,149.95,-3.03,2.5921,Soldering-Iron
181000,227.7,0.6692,152.38,2.43,2.6133,Soldering-Iron
181500,230.17,0.653,150.31,-2.07,2.6342,Soldering-Iron
182000,228.78,0.6495,148.59,-1.71,2.6548,Soldering-Iron
182500,228.48,0.6755,154.32,5.73,2.6762,Soldering-Iron
183000,225.76,0.6586,148.69,-5.63,2.6969,Soldering-Iron
183500,225.33,0.6576,148.18,-0.51,2.7175,Soldering-Iron
184000,230.69,0.6638,153.14,4.96,2.7387,Soldering-Iron
184500,228.25,0.6511,148.6,-4.54,2.7594,Soldering-Iron
185000,229.97,0.6698,154.04,5.44,2.7808,Soldering-Iron
185500,226.53,0.655,148.38,-5.66,2.8014,Soldering-Iron
186000,229.91,0.6609,151.94,3.56,2.8225,Soldering-Iron
186500,230.77,0.6492,149.83,-2.11,2.8433,Soldering-Iron
187000,228.33,0.6573,150.09,0.26,2.8641,Soldering-Iron
187500,229.74,0.6587,151.33,1.24,2.8851,Soldering-Iron
188000,229.7,0.6683,153.51,2.18,2.9065,Soldering-Iron
188500,230.83,0.6443,148.73,-4.78,2.9271,Soldering-Iron
189000,227.43,0.6532,148.55,-0.18,2.9478,Soldering-Iron
189500,230.86,0.6623,152.9,4.35,2.969,Soldering-Iron
190000,225.1,0.6757,152.1,-0.8,2.9901,Soldering-Iron
190500,225.32,0.676,152.31,0.21,3.0113,Soldering-Iron
191000,225.09,0.6737,151.64,-0.67,3.0323,Soldering-Iron
191500,229.84,0.6507,149.55,-2.09,3.0531,Soldering-Iron
192000,226.44,0.663,150.14,0.58,3.074,Soldering-Iron
192500,228.46,0.659,150.55,0.42,3.0949,Soldering-Iron
193000,227.98,0.6526,148.77,-1.78,3.1155,Soldering-Iron
193500,226.96,0.6671,151.42,2.65,3.1366,Soldering-Iron
194000,228.07,0.6661,151.91,0.5,3.1577,Soldering-Iron
194500,225.66,0.6812,153.72,1.8,3.179,Soldering-Iron
195000,225.68,0.6563,148.11,-5.61,3.1996,Soldering-Iron
195500,230.48,0.663,152.8,4.69,3.2208,Soldering-Iron
196000,227.02,0.6545,148.58,-4.23,3.2414,Soldering-Iron
196500,225.34,0.655,147.6,-0.98,3.2619,Soldering-Iron
197000,227.95,0.6709,152.93,5.33,3.2832,Soldering-Iron
197500,226.2,0.6691,151.36,-1.57,3.3042,Soldering-Iron
198000,228.42,0.6696,152.94,1.58,3.3254,Soldering-Iron
198500,228.68,0.6746,154.26,1.32,3.3469,Soldering-Iron
199000,229.78,0.6687,153.65,-0.61,3.3682,Soldering-Iron
199500,226.23,0.6608,149.5,-4.16,3.389,Soldering-Iron
200000,229.01,0.657,150.46,0.96,3.4099,Soldering-Iron
200500,230.82,0.6528,150.69,0.23,3.4308,Soldering-Iron
201000,226.36,0.6535,147.93,-2.76,3.4513,Soldering-Iron
201500,230.12,0.6618,152.28,4.36,3.4725,Soldering-Iron
202000,230.34,0.6576,151.47,-0.81,3.4935,Soldering-Iron
202500,226.09,0.6853,154.95,3.47,3.5151,Soldering-Iron
203000,228.24,0.6741,153.86,-1.09,3.5364,Soldering-Iron
203500,230.06,0.6671,153.46,-0.39,3.5577,Soldering-Iron
204000,226.25,0.6586,149.0,-4.46,3.5784,Soldering-Iron
204500,229.52,0.6653,152.69,3.69,3.5996,Soldering-Iron
205000,226.5,0.6733,152.5,-0.2,3.6208,Soldering-Iron
205500,227.55,0.6726,153.05,0.56,3.6421,Soldering-Iron
206000,227.86,0.6641,151.32,-1.73,3.6631,Soldering-Iron
206500,229.19,0.6609,151.46,0.14,3.6841,Soldering-Iron
207000,230.1,0.6618,152.28,0.82,3.7053,Soldering-Iron
207500,228.71,0.6748,154.32,2.04,3.7267,Soldering-Iron
208000,228.96,0.6494,148.68,-5.64,3.7474,Soldering-Iron
208500,225.88,0.6792,153.42,4.73,3.7687,Soldering-Iron
209000,228.01,0.6517,148.61,-4.81,3.7893,Soldering-Iron
209500,225.98,0.663,149.84,1.23,3.8101,Soldering-Iron
215000,230.45,0.268,61.77,60.25,3.8199,Bulb-60W
215500,230.21,0.2684,61.78,0.01,3.8285,Bulb-60W
216000,225.82,0.2643,59.69,-2.09,3.8368,Bulb-60W
216500,227.03,0.2697,61.22,1.53,3.8453,Bulb-60W
217000,226.43,0.2739,62.01,0.79,3.8539,Bulb-60W
217500,226.43,0.2687,60.84,-1.17,3.8624,Bulb-60W
218000,230.86,0.2651,61.2,0.36,3.8709,Bulb-60W
218500,227.16,0.2633,59.8,-1.39,3.8792,Bulb-60W
219000,225.42,0.2769,62.41,2.61,3.8878,Bulb-60W
219500,226.65,0.269,60.96,-1.45,3.8963,Bulb-60W
220000,227.11,0.3305,75.06,14.1,3.9067,Phone-Charger
220500,225.15,0.3451,77.7,2.64,3.9175,Phone-Charger
221000,226.1,0.3425,77.44,-0.26,3.9283,Phone-Charger
221500,228.01,0.3294,75.1,-2.34,3.9387,Phone-Charger
222000,228.9,0.3271,74.87,-0.24,3.9491,Phone-Charger
222500,226.35,0.347,78.54,3.67,3.96,Phone-Charger
223000,230.06,0.328,75.45,-3.09,3.9705,Phone-Charger
223500,230.67,0.3322,76.64,1.18,3.9812,Phone-Charger
224000,225.46,0.3406,76.79,0.16,3.9918,Phone-Charger
224500,229.71,0.3253,74.72,-2.08,4.0022,Phone-Charger
225000,229.11,0.3234,74.09,-0.62,4.0125,Phone-Charger
225500,226.58,0.346,78.39,4.29,4.0234,Phone-Charger
226000,227.45,0.3279,74.58,-3.8,4.0337,Phone-Charger
226500,225.14,0.3383,76.16,1.58,4.0443,Phone-Charger
227000,229.71,0.3365,77.29,1.13,4.055,Phone-Charger
227500,229.08,0.339,77.65,0.36,4.0658,Phone-Charger
228000,229.18,0.328,75.17,-2.48,4.0763,Phone-Charger
228500,226.77,0.3375,76.54,1.37,4.0869,Phone-Charger
229000,226.09,0.3368,76.16,-0.39,4.0975,Phone-Charger
229500,230.02,0.3342,76.88,0.72,4.1082,Phone-Charger
230000,228.64,0.3264,74.62,-2.26,4.1185,Phone-Charger
230500,226.0,0.3367,76.09,1.47,4.1291,Phone-Charger
231000,227.69,0.318,72.41,-3.69,4.1391,Phone-Charger
231500,228.69,0.3222,73.69,1.28,4.1494,Phone-Charger
232000,228.75,0.3261,74.59,0.9,4.1597,Phone-Charger
232500,226.27,0.3364,76.12,1.53,4.1703,Phone-Charger
233000,228.73,0.3222,73.69,-2.43,4.1805,Phone-Charger
233500,230.99,0.3253,75.14,1.45,4.191,Phone-Charger
234000,230.58,0.324,74.72,-0.42,4.2014,Phone-Charger
234500,228.43,0.3275,74.81,0.09,4.2117,Phone-Charger
235000,228.96,0.3383,77.45,2.64,4.2225,Phone-Charger
235500,226.18,0.3435,77.7,0.24,4.2333,Phone-Charger
236000,225.22,0.3361,75.69,-2.0,4.2438,Phone-Charger
236500,229.9,0.3333,76.62,0.92,4.2545,Phone-Charger
237000,230.72,0.3304,76.23,-0.39,4.265,Phone-Charger
237500,228.31,0.3273,74.72,-1.51,4.2754,Phone-Charger
238000,230.38,0.3172,73.07,-1.65,4.2856,Phone-Charger
238500,228.08,0.3321,75.74,2.67,4.2961,Phone-Charger
239000,229.65,0.3382,77.66,1.92,4.3069,Phone-Charger
239500,230.59,0.3235,74.6,-3.05,4.3172,Phone-Charger
240000,230.61,0.3234,74.59,-0.01,4.3276,Phone-Charger
240500,227.82,0.3258,74.22,-0.37,4.3379,Phone-Charger
241000,225.86,0.3349,75.64,1.41,4.3484,Phone-Charger
241500,229.61,0.3231,74.18,-1.46,4.3587,Phone-Charger
242000,230.14,0.3332,76.68,2.5,4.3694,Phone-Charger
